C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00167 | Time(s) 0.0692 | Loss 0.0053 | Accuracy 1.0000 | ETputs(KTEPS) 133.27
Epoch 00168 | Time(s) 0.0692 | Loss 0.0022 | Accuracy 1.0000 | ETputs(KTEPS) 133.35
Epoch 00169 | Time(s) 0.0693 | Loss 0.0280 | Accuracy 1.0000 | ETputs(KTEPS) 133.25
Epoch 00170 | Time(s) 0.0692 | Loss 0.0040 | Accuracy 1.0000 | ETputs(KTEPS) 133.32
Epoch 00171 | Time(s) 0.0694 | Loss 0.0192 | Accuracy 1.0000 | ETputs(KTEPS) 133.05
Epoch 00172 | Time(s) 0.0694 | Loss 0.0015 | Accuracy 1.0000 | ETputs(KTEPS) 132.95
Epoch 00173 | Time(s) 0.0696 | Loss 0.0060 | Accuracy 1.0000 | ETputs(KTEPS) 132.68
Epoch 00174 | Time(s) 0.0695 | Loss 0.0103 | Accuracy 1.0000 | ETputs(KTEPS) 132.75
Epoch 00175 | Time(s) 0.0695 | Loss 0.0038 | Accuracy 1.0000 | ETputs(KTEPS) 132.83
Epoch 00176 | Time(s) 0.0694 | Loss 0.0079 | Accuracy 1.0000 | ETputs(KTEPS) 132.91
Epoch 00177 | Time(s) 0.0694 | Loss 0.2595 | Accuracy 1.0000 | ETputs(KTEPS) 132.98
Epoch 00178 | Time(s) 0.0694 | Loss 0.0013 | Accuracy 1.0000 | ETputs(KTEPS) 132.89
Epoch 00179 | Time(s) 0.0694 | Loss 0.0032 | Accuracy 1.0000 | ETputs(KTEPS) 132.96
Epoch 00180 | Time(s) 0.0694 | Loss 0.0057 | Accuracy 1.0000 | ETputs(KTEPS) 133.04
Epoch 00181 | Time(s) 0.0694 | Loss 0.0245 | Accuracy 1.0000 | ETputs(KTEPS) 132.92
Epoch 00182 | Time(s) 0.0694 | Loss 0.0215 | Accuracy 1.0000 | ETputs(KTEPS) 133.00
Epoch 00183 | Time(s) 0.0694 | Loss 0.0041 | Accuracy 1.0000 | ETputs(KTEPS) 133.06
Epoch 00184 | Time(s) 0.0694 | Loss 0.0135 | Accuracy 1.0000 | ETputs(KTEPS) 132.96
Epoch 00185 | Time(s) 0.0694 | Loss 0.1881 | Accuracy 1.0000 | ETputs(KTEPS) 133.04
Epoch 00186 | Time(s) 0.0693 | Loss 0.0025 | Accuracy 1.0000 | ETputs(KTEPS) 133.11
Epoch 00187 | Time(s) 0.0693 | Loss 0.0074 | Accuracy 1.0000 | ETputs(KTEPS) 133.18
Epoch 00188 | Time(s) 0.0693 | Loss 0.0464 | Accuracy 1.0000 | ETputs(KTEPS) 133.25
Epoch 00189 | Time(s) 0.0692 | Loss 0.0237 | Accuracy 1.0000 | ETputs(KTEPS) 133.32
Epoch 00190 | Time(s) 0.0693 | Loss 0.0352 | Accuracy 1.0000 | ETputs(KTEPS) 133.07
Epoch 00191 | Time(s) 0.0696 | Loss 0.0006 | Accuracy 1.0000 | ETputs(KTEPS) 132.66
Epoch 00192 | Time(s) 0.0697 | Loss 0.0036 | Accuracy 1.0000 | ETputs(KTEPS) 132.35
Epoch 00193 | Time(s) 0.0698 | Loss 0.0041 | Accuracy 1.0000 | ETputs(KTEPS) 132.11
Epoch 00194 | Time(s) 0.0701 | Loss 0.2342 | Accuracy 1.0000 | ETputs(KTEPS) 131.68
Epoch 00195 | Time(s) 0.0705 | Loss 0.0015 | Accuracy 1.0000 | ETputs(KTEPS) 130.81
Epoch 00196 | Time(s) 0.0708 | Loss 0.0069 | Accuracy 1.0000 | ETputs(KTEPS) 130.29
Epoch 00197 | Time(s) 0.0713 | Loss 0.0082 | Accuracy 1.0000 | ETputs(KTEPS) 129.49
Epoch 00198 | Time(s) 0.0714 | Loss 0.0100 | Accuracy 1.0000 | ETputs(KTEPS) 129.19
Epoch 00199 | Time(s) 0.0716 | Loss 0.0014 | Accuracy 1.0000 | ETputs(KTEPS) 128.84

Test Accuracy 1.0000
